epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,779.378,0.69123,0.40875,1.24111,0.99824,0.98095,0.99144,0.8268,0.74993,0.36369,1.44069,0.0010958,0.0010958,0.0010958
139,786.687,0.68223,0.40293,1.17589,0.99839,0.97381,0.98964,0.82126,0.76002,0.36392,1.44337,0.0010892,0.0010892,0.0010892
140,791.911,0.70511,0.40931,1.2386,0.99918,0.97619,0.98988,0.82069,0.75803,0.36128,1.50071,0.0010826,0.0010826,0.0010826
141,798.061,0.68782,0.40812,1.22223,0.9965,0.97619,0.99147,0.82505,0.76798,0.36844,1.43857,0.001076,0.001076,0.001076
142,803.181,0.70171,0.41823,1.23001,0.99976,0.97857,0.99128,0.82475,0.75231,0.3617,1.42143,0.0010694,0.0010694,0.0010694
143,808.427,0.68674,0.40635,1.20644,0.99516,0.9788,0.99148,0.81887,0.77292,0.36638,1.38951,0.0010628,0.0010628,0.0010628
144,814.467,0.67417,0.39742,1.19968,0.9969,0.97143,0.9903,0.82059,0.76873,0.36637,1.40327,0.0010562,0.0010562,0.0010562
145,819.632,0.69209,0.40892,1.20936,0.99754,0.97619,0.99111,0.81886,0.75647,0.36361,1.45647,0.0010496,0.0010496,0.0010496
146,825.818,0.68538,0.3983,1.20807,0.99757,0.97603,0.98892,0.81422,0.76479,0.36535,1.41697,0.001043,0.001043,0.001043
147,830.956,0.67768,0.40753,1.20832,0.99967,0.97143,0.99155,0.80805,0.78836,0.37517,1.51696,0.0010364,0.0010364,0.0010364
148,837.15,0.70408,0.40971,1.19677,0.99251,0.97143,0.99151,0.81438,0.77303,0.37465,1.48011,0.0010298,0.0010298,0.0010298
149,842.292,0.65489,0.38685,1.19923,0.99273,0.97492,0.99349,0.80936,0.78167,0.37795,1.56182,0.0010232,0.0010232,0.0010232
150,848.139,0.69156,0.40505,1.18583,0.99757,0.97649,0.99423,0.81845,0.76001,0.3686,1.52117,0.0010166,0.0010166,0.0010166
151,853.547,0.67407,0.39824,1.21031,0.99734,0.98095,0.99441,0.83069,0.74453,0.36815,1.46303,0.00101,0.00101,0.00101
152,858.737,0.69126,0.40418,1.19171,0.99969,0.98571,0.99474,0.81927,0.76901,0.367,1.49961,0.0010034,0.0010034,0.0010034
153,864.872,0.68185,0.40279,1.1992,1,0.98463,0.99486,0.82995,0.74589,0.36219,1.445,0.0009968,0.0009968,0.0009968
154,870.002,0.68217,0.40193,1.22371,0.99733,0.98333,0.99474,0.83157,0.74027,0.35932,1.46395,0.0009902,0.0009902,0.0009902
155,876.324,0.67471,0.39925,1.18249,0.99484,0.97619,0.99087,0.82992,0.73635,0.35626,1.42175,0.0009836,0.0009836,0.0009836
156,881.525,0.6457,0.38325,1.18063,0.99727,0.97619,0.99284,0.8305,0.74496,0.35946,1.42656,0.000977,0.000977,0.000977
157,887.617,0.65311,0.39288,1.18701,0.99757,0.97562,0.99295,0.83328,0.73714,0.35363,1.4642,0.0009704,0.0009704,0.0009704
158,892.812,0.64706,0.39116,1.16909,0.99709,0.97619,0.99157,0.831,0.73714,0.35323,1.39194,0.0009638,0.0009638,0.0009638
159,898.379,0.67878,0.40004,1.19723,1,0.97615,0.99053,0.82412,0.74029,0.36127,1.43405,0.0009572,0.0009572,0.0009572
160,904.057,0.64377,0.39944,1.19524,0.99486,0.98571,0.9947,0.82972,0.73313,0.35672,1.42436,0.0009506,0.0009506,0.0009506
161,909.256,0.65356,0.40625,1.1864,0.99758,0.98285,0.99445,0.82932,0.73229,0.36366,1.44868,0.000944,0.000944,0.000944
162,915.442,0.64687,0.39704,1.19732,0.99885,0.97857,0.99123,0.82814,0.7369,0.3534,1.41991,0.0009374,0.0009374,0.0009374
163,920.572,0.66701,0.40011,1.20002,0.99713,0.98095,0.99297,0.83319,0.73884,0.35711,1.44187,0.0009308,0.0009308,0.0009308
164,926.692,0.6518,0.4033,1.16745,0.99245,0.98333,0.99447,0.82289,0.74962,0.35836,1.52883,0.0009242,0.0009242,0.0009242
165,931.821,0.63764,0.38665,1.18583,0.99732,0.97857,0.99126,0.82546,0.74635,0.35738,1.47643,0.0009176,0.0009176,0.0009176
166,937.77,0.65496,0.3965,1.18534,0.99757,0.97594,0.99053,0.82979,0.74048,0.35753,1.45937,0.000911,0.000911,0.000911
167,943.251,0.63219,0.38902,1.16756,0.99518,0.98308,0.99077,0.82708,0.75016,0.35154,1.47056,0.0009044,0.0009044,0.0009044
168,950.016,0.65399,0.39701,1.17169,0.99709,0.97381,0.98799,0.82631,0.74033,0.35289,1.45658,0.0008978,0.0008978,0.0008978
169,955.474,0.64034,0.39696,1.18643,0.99514,0.9747,0.99027,0.83112,0.73508,0.35967,1.44824,0.0008912,0.0008912,0.0008912
170,960.652,0.65729,0.39404,1.18166,0.99514,0.97588,0.99229,0.83029,0.75232,0.35609,1.48492,0.0008846,0.0008846,0.0008846
171,966.85,0.63678,0.38155,1.17268,0.99279,0.98296,0.99148,0.8322,0.74084,0.35121,1.4846,0.000878,0.000878,0.000878
172,972.065,0.64961,0.39379,1.18118,0.99195,0.98571,0.99287,0.83485,0.73828,0.35058,1.44488,0.0008714,0.0008714,0.0008714
173,978.438,0.66906,0.39852,1.18695,0.9946,0.9881,0.99461,0.83455,0.73431,0.34794,1.44654,0.0008648,0.0008648,0.0008648
174,983.719,0.65231,0.39656,1.19175,0.99756,0.97235,0.98957,0.83137,0.73489,0.34919,1.44427,0.0008582,0.0008582,0.0008582
175,989.929,0.64024,0.3954,1.1835,0.99512,0.98333,0.99053,0.82633,0.74158,0.35621,1.4905,0.0008516,0.0008516,0.0008516
176,995.163,0.63779,0.37819,1.16139,0.99517,0.98039,0.99048,0.82705,0.74032,0.35009,1.44761,0.000845,0.000845,0.000845
177,1000.88,0.62484,0.38378,1.16375,0.99825,0.97619,0.99138,0.82916,0.73218,0.35706,1.45869,0.0008384,0.0008384,0.0008384
178,1006.46,0.643,0.3913,1.16891,0.99962,0.97857,0.99052,0.82056,0.74924,0.36294,1.45903,0.0008318,0.0008318,0.0008318
179,1011.63,0.63879,0.38598,1.18836,1,0.98094,0.99157,0.83057,0.7296,0.35174,1.43332,0.0008252,0.0008252,0.0008252
180,1017.74,0.65052,0.38389,1.17266,1,0.98034,0.9915,0.83175,0.72498,0.35342,1.46887,0.0008186,0.0008186,0.0008186
181,1022.93,0.63739,0.38779,1.17057,1,0.97809,0.9907,0.83831,0.72339,0.34453,1.41711,0.000812,0.000812,0.000812
182,1029.22,0.62252,0.38334,1.19348,0.99277,0.9805,0.99072,0.84293,0.71568,0.34375,1.40354,0.0008054,0.0008054,0.0008054
